Scaled v (cm⁻¹)	Inten (km/mol)
-128.3132	53.6753
15.9590	1.8488
63.0777	10.2772
64.7491	7.7490
156.5743	19.4335
165.4172	13.8149
220.7787	1.3281
256.5156	25.2785
369.2928	1.2654
419.9852	7.8411
461.3523	21.7464
461.6895	1.0337
494.0618	32.9101
511.8743	2.3548
571.4234	36.2651
678.2458	3.4637
705.6457	84.0656
741.8717	88.7813
741.2415	6.1200
750.2866	9.2377
794.0477	48.4900
798.5508	40.0705
846.7917	30.0492
889.3662	23.5809
941.2430	4.0522
972.3725	2.0145
1011.4494	6.7148
1023.0897	4.8440
1046.5147	33.0067
1089.6959	1.6655
1128.9458	17.2821
1174.3817	21.9392
1201.2277	19.3624
1215.4756	21.2998
1271.3102	12.6928
1302.5209	14.0850
1350.9362	2.6381
1395.0842	0.9475
1426.4124	0.2149
1456.6683	3.9885
1508.6289	16.6352
1583.8846	7.6166
1747.6736	25.7279
2114.7930	45.7364
3075.7050	1.0032
3088.8685	6.8516
3092.2386	0.6382
3105.0194	2.7146
3105.4829	19.6960
3115.0597	0.0308
3328.9581	182.8824
